UF,Município,co_municipio_ibge,Laboratório,Total de Doses Aplicadas,1ª Dose,2ª Dose,Dose Reforço,2ª Dose Reforço,Dose Adicional,Dose Única
MG,Luminárias,313870,Coronavac,1.948,1.005,942,0,0,1,0
MG,Luminárias,313870,Janssen,378,0,0,216,0,0,162
MG,Luz,313880,Pfizer,18.842,5.549,4.635,7.180,1.038,440,0
MG,Luz,313880,Astrazeneca,11.578,5.816,5.577,184,0,1,0
MG,Luz,313880,Coronavac,8.192,4.288,3.897,6,0,1,0
MG,Luz,313880,Janssen,1.269,0,0,597,28,0,644
MG,Machacalis,313890,Pfizer,7.493,2.375,2.044,3.000,67,7,0
MG,Machacalis,313890,Astrazeneca,3.742,1.766,1.721,115,138,2,0
MG,Machacalis,313890,Coronavac,3.437,1.824,1.611,1,1,0,0
MG,Machacalis,313890,Janssen,311,0,0,101,134,0,76
MG,Machacalis,313890,-,113,3,110,0,0,0,0
MG,Machado,313900,Pfizer,38.780,13.520,11.789,13.097,54,320,0
MG,Machado,313900,Astrazeneca,28.083,12.218,11.879,3.377,320,289,0
MG,Machado,313900,Coronavac,15.171,7.897,7.270,4,0,0,0
MG,Machado,313900,Janssen,2.892,0,0,1.385,495,86,926
MG,Machado,313900,-,177,34,143,0,0,0,0
MG,Madre De Deus De Minas,313910,Astrazeneca,5.508,2.284,2.128,817,277,2,0
MG,Madre De Deus De Minas,313910,Pfizer,4.655,1.573,1.336,1.728,10,8,0
MG,Madre De Deus De Minas,313910,Coronavac,2.148,1.119,1.028,1,0,0,0
MG,Madre De Deus De Minas,313910,Janssen,756,0,0,454,166,14,122
MG,Madre De Deus De Minas,313910,-,54,34,20,0,0,0,0
MG,Malacacheta,313920,Pfizer,14.316,5.571,4.336,4.397,6,6,0
MG,Malacacheta,313920,Astrazeneca,9.361,4.541,4.383,234,202,1,0
MG,Malacacheta,313920,Coronavac,8.369,4.385,3.984,0,0,0,0
MG,Malacacheta,313920,Janssen,935,0,0,342,236,2,355
MG,Malacacheta,313920,-,78,15,60,3,0,0,0
MG,Mamonas,313925,Pfizer,5.809,1.855,1.633,2.207,65,49,0
MG,Mamonas,313925,Astrazeneca,4.594,1.930,1.850,663,150,1,0
MG,Mamonas,313925,Coronavac,2.675,1.356,1.312,4,0,3,0
MG,Mamonas,313925,Janssen,210,0,0,5,23,79,103
MG,Mamonas,313925,-,6,4,2,0,0,0,0
MG,Manga,313930,Pfizer,14.029,5.359,4.246,4.408,10,6,0
MG,Manga,313930,Astrazeneca,12.758,6.374,5.844,397,139,4,0
MG,Manga,313930,Coronavac,6.134,3.341,2.792,1,0,0,0
MG,Manga,313930,Janssen,2.000,0,0,1.481,48,2,469
MG,Manga,313930,-,75,32,43,0,0,0,0
MG,Manhuaçu,313940,Pfizer,72.192,28.136,21.481,17.271,1.605,3.699,0
MG,Manhuaçu,313940,Astrazeneca,55.901,27.635,24.396,2.784,447,639,0
MG,Manhuaçu,313940,Coronavac,29.287,15.556,13.671,53,0,7,0
MG,Manhuaçu,313940,Janssen,7.180,0,0,2.669,402,421,3.688
MG,Manhuaçu,313940,-,202,51,151,0,0,0,0
MG,Manhumirim,313950,Pfizer,20.435,7.584,5.942,6.159,674,75,1
MG,Manhumirim,313950,Astrazeneca,13.827,6.811,6.102,913,1,0,0
MG,Manhumirim,313950,Coronavac,7.184,3.886,3.297,1,0,0,0
MG,Manhumirim,313950,Janssen,1.538,0,0,674,61,30,773
MG,Manhumirim,313950,-,217,22,195,0,0,0,0
MG,Mantena,313960,Pfizer,20.707,7.808,5.793,6.721,243,142,0
MG,Mantena,313960,Astrazeneca,16.069,7.359,6.984,1.264,460,2,0
MG,Mantena,313960,Coronavac,9.551,5.158,4.383,5,2,3,0
MG,Mantena,313960,Janssen,1.388,0,0,566,107,18,697
MG,Mar De Espanha,313980,Pfizer,12.070,4.139,3.674,2.815,85,1.357,0
MG,Mar De Espanha,313980,Astrazeneca,11.336,4.642,4.524,996,543,631,0
MG,Mar De Espanha,313980,Coronavac,4.800,2.458,2.342,0,0,0,0
MG,Mar De Espanha,313980,Janssen,1.612,0,0,559,327,367,359
MG,Mar De Espanha,313980,-,55,1,54,0,0,0,0
MG,Maravilhas,313970,Astrazeneca,6.574,2.294,2.086,2.109,85,0,0
MG,Maravilhas,313970,Pfizer,6.217,2.345,2.101,1.768,3,0,0
MG,Maravilhas,313970,Coronavac,2.929,1.550,1.378,1,0,0,0
MG,Maravilhas,313970,Janssen,450,0,0,185,141,0,124
MG,Maravilhas,313970,-,84,12,72,0,0,0,0
MG,Maria Da Fé,313990,Pfizer,13.529,4.511,4.162,4.776,62,18,0
MG,Maria Da Fé,313990,Astrazeneca,10.707,4.113,4.032,2.348,213,1,0
MG,Maria Da Fé,313990,Coronavac,7.206,3.747,3.453,6,0,0,0
MG,Maria Da Fé,313990,Janssen,1.696,0,0,904,545,1,246
MG,Maria Da Fé,313990,-,46,21,23,1,1,0,0
MG,Mariana,314000,Pfizer,64.807,21.463,19.890,23.351,62,41,0
MG,Mariana,314000,Astrazeneca,40.050,16.688,16.417,6.595,309,41,0
MG,Mariana,314000,Coronavac,35.088,18.069,16.904,107,2,6,0
MG,Mariana,314000,Janssen,10.464,0,0,5.387,3.163,125,1.789
MG,Mariana,314000,-,917,382,496,37,0,2,0
MG,Marilac,314010,Pfizer,3.861,1.630,1.369,859,2,1,0
MG,Marilac,314010,Astrazeneca,2.394,1.011,998,373,12,0,0
MG,Marilac,314010,Coronavac,1.508,787,721,0,0,0,0
MG,Marilac,314010,Janssen,267,0,0,134,14,1,118
MG,Marilac,314010,-,27,14,13,0,0,0,0
MG,Mário Campos,314015,Pfizer,14.508,5.028,4.343,4.798,183,156,0
MG,Mário Campos,314015,Astrazeneca,9.860,4.650,4.423,731,52,4,0
MG,Mário Campos,314015,Coronavac,7.219,3.849,3.361,8,1,0,0
MG,Mário Campos,314015,Janssen,1.566,0,0,802,87,142,535
MG,Mário Campos,314015,-,39,18,20,0,1,0,0
MG,Maripá De Minas,314020,Pfizer,3.837,1.008,910,433,0,1.486,0
MG,Maripá De Minas,314020,Astrazeneca,2.924,1.208,1.193,3,65,455,0
MG,Maripá De Minas,314020,Coronavac,1.618,812,806,0,0,0,0
MG,Maripá De Minas,314020,Janssen,141,0,0,69,0,2,70
MG,Maripá De Minas,314020,-,23,11,12,0,0,0,0
MG,Marliéria,314030,Pfizer,3.919,1.361,1.186,1.361,10,1,0
MG,Marliéria,314030,Astrazeneca,2.958,1.285,1.247,280,146,0,0
MG,Marliéria,314030,Coronavac,2.004,1.033,966,5,0,0,0
MG,Marliéria,314030,Janssen,396,0,0,140,186,0,70
MG,Marliéria,314030,-,29,12,17,0,0,0,0
MG,Marmelópolis,314040,Pfizer,3.127,1.084,942,696,8,397,0
MG,Marmelópolis,314040,Astrazeneca,1.939,880,812,1,22,224,0
MG,Marmelópolis,314040,Coronavac,1.698,871,825,2,0,0,0
MG,Marmelópolis,314040,Janssen,147,0,0,10,27,57,53
MG,Marmelópolis,314040,-,1,1,0,0,0,0,0
MG,Martinho Campos,314050,Pfizer,14.675,4.670,4.157,4.958,443,447,0
MG,Martinho Campos,314050,Astrazeneca,9.527,4.102,4.016,978,149,281,1
MG,Martinho Campos,314050,Coronavac,6.696,3.469,3.224,1,1,0,1
MG,Martinho Campos,314050,Janssen,863,0,0,207,346,44,266
MG,Martins Soares,314053,Pfizer,7.466,2.733,2.266,2.228,188,51,0
MG,Martins Soares,314053,Astrazeneca,4.414,2.144,1.986,217,46,21,0
MG,Martins Soares,314053,Coronavac,3.559,1.857,1.702,0,0,0,0
MG,Martins Soares,314053,Janssen,264,0,0,119,0,3,142
MG,Mata Verde,314055,Pfizer,7.120,2.565,2.123,2.220,210,2,0
MG,Mata Verde,314055,Astrazeneca,4.456,2.200,2.003,253,0,0,0
MG,Mata Verde,314055,Coronavac,3.514,1.866,1.647,1,0,0,0
MG,Mata Verde,314055,Janssen,195,0,0,85,0,0,110
MG,Mata Verde,314055,-,56,2,53,0,1,0,0
MG,Materlândia,314060,Astrazeneca,4.640,2.297,2.140,166,37,0,0
MG,Materlândia,314060,Pfizer,4.351,1.071,904,2.296,65,15,0
MG,Materlândia,314060,Coronavac,1.680,868,812,0,0,0,0
MG,Materlândia,314060,Janssen,133,0,0,63,0,0,70
MG,Materlândia,314060,-,37,5,32,0,0,0,0
MG,Mateus Leme,314070,Pfizer,39.736,13.686,11.742,13.980,276,52,0
MG,Mateus Leme,314070,Astrazeneca,20.873,9.366,9.154,1.767,557,29,0
MG,Mateus Leme,314070,Coronavac,16.351,8.508,7.831,10,2,0,0
MG,Mateus Leme,314070,Janssen,3.807,0,0,1.867,1.253,63,624
MG,Mateus Leme,314070,-,435,204,231,0,0,0,0
MG,Mathias Lobato,317150,Astrazeneca,2.657,1.257,1.142,211,47,0,0
MG,Mathias Lobato,317150,Pfizer,2.502,938,699,811,43,11,0
MG,Mathias Lobato,317150,Coronavac,977,532,445,0,0,0,0
MG,Mathias Lobato,317150,Janssen,233,0,0,115,29,0,89
MG,Mathias Lobato,317150,-,59,25,34,0,0,0,0
MG,Matias Barbosa,314080,Astrazeneca,12.383,5.434,4.893,1.290,531,235,0
MG,Matias Barbosa,314080,Pfizer,11.745,4.226,3.324,4.011,15,169,0
MG,Matias Barbosa,314080,Coronavac,5.747,2.911,2.591,240,0,5,0
MG,Matias Barbosa,314080,Janssen,2.225,0,0,1.079,367,131,648
MG,Matias Barbosa,314080,-,174,86,88,0,0,0,0
MG,Matias Cardoso,314085,Astrazeneca,6.327,4.034,2.284,9,0,0,0
MG,Matias Cardoso,314085,Pfizer,2.748,1.606,541,481,0,120,0
MG,Matias Cardoso,314085,Coronavac,1.906,1.133,772,1,0,0,0
MG,Matias Cardoso,314085,Janssen,135,0,0,27,0,0,108
MG,Matipó,314090,Pfizer,15.316,6.086,4.480,4.386,203,161,0
MG,Matipó,314090,Astrazeneca,12.302,6.244,5.274,570,213,1,0
MG,Matipó,314090,Coronavac,6.015,3.283,2.728,4,0,0,0
MG,Matipó,314090,Janssen,711,0,0,392,96,4,219
MG,Matipó,314090,-,1,0,1,0,0,0,0
MG,Mato Verde,314100,Pfizer,11.372,3.756,3.096,3.365,5,1.150,0
MG,Mato Verde,314100,Astrazeneca,10.385,5.011,4.512,700,42,120,0
MG,Mato Verde,314100,Coronavac,4.698,2.511,2.187,0,0,0,0
MG,Mato Verde,314100,Janssen,732,0,0,202,313,46,171
MG,Mato Verde,314100,-,76,31,45,0,0,0,0
MG,Matozinhos,314110,Pfizer,43.997,14.099,12.577,16.375,392,554,0
MG,Matozinhos,314110,Astrazeneca,27.154,11.370,11.006,3.568,898,312,0
MG,Matozinhos,314110,Coronavac,16.211,8.462,7.732,11,1,5,0
MG,Matozinhos,314110,Janssen,3.478,0,0,1.243,1.005,178,1.052
MG,Matozinhos,314110,-,530,243,280,6,0,1,0
MG,Matutina,314120,Pfizer,4.600,1.109,1.033,2.428,12,18,0
MG,Matutina,314120,Astrazeneca,2.982,1.271,1.252,213,245,1,0
MG,Matutina,314120,Coronavac,2.900,1.460,1.440,0,0,0,0
MG,Matutina,314120,Janssen,532,0,0,136,290,0,106
MG,Matutina,314120,-,39,16,21,0,0,2,0
MG,Medeiros,314130,Pfizer,3.699,1.308,1.115,1.176,25,74,1
MG,Medeiros,314130,Astrazeneca,2.281,1.062,1.057,162,0,0,0
MG,Medeiros,314130,Coronavac,1.912,978,932,0,0,1,1
MG,Medeiros,314130,Janssen,435,0,0,382,2,0,51
MG,Medina,314140,Pfizer,20.575,6.544,5.899,7.263,644,225,0
MG,Medina,314140,Astrazeneca,11.024,5.185,4.985,660,194,0,0
MG,Medina,314140,Coronavac,9.533,4.972,4.557,3,0,1,0
MG,Medina,314140,Janssen,1.659,0,0,1.119,318,2,220
MG,Medina,314140,-,198,30,166,2,0,0,0
MG,Mendes Pimentel,314150,Pfizer,5.780,1.871,1.680,2.148,75,6,0
MG,Mendes Pimentel,314150,Astrazeneca,4.067,1.807,1.822,284,154,0,0
MG,Mendes Pimentel,314150,Coronavac,2.326,1.179,1.146,1,0,0,0
MG,Mendes Pimentel,314150,Janssen,590,0,0,233,235,0,122
MG,Mendes Pimentel,314150,-,7,3,4,0,0,0,0
MG,Mercês,314160,Pfizer,9.750,3.102,2.772,3.748,1,127,0
MG,Mercês,314160,Astrazeneca,9.346,3.975,3.891,892,80,508,0
MG,Mercês,314160,Coronavac,4.013,2.074,1.939,0,0,0,0
MG,Mercês,314160,Janssen,643,0,0,475,0,7,161
MG,Mercês,314160,-,104,38,64,1,0,1,0
MG,Mesquita,314170,Pfizer,4.890,1.636,1.257,1.861,124,12,0
MG,Mesquita,314170,Astrazeneca,4.198,1.726,1.677,577,218,0,0
MG,Mesquita,314170,Coronavac,2.507,1.300,1.205,2,0,0,0
MG,Mesquita,314170,Janssen,218,0,0,87,60,0,71
MG,Mesquita,314170,-,32,3,28,1,0,0,0
MG,Minas Novas,314180,Pfizer,28.246,9.413,7.913,10.439,25,455,1
MG,Minas Novas,314180,Astrazeneca,15.846,7.947,7.609,289,0,1,0
MG,Minas Novas,314180,Coronavac,7.425,3.893,3.529,3,0,0,0
MG,Minas Novas,314180,Janssen,711,0,0,315,0,0,396
MG,Minas Novas,314180,-,209,13,196,0,0,0,0
MG,Minduri,314190,Pfizer,3.931,1.268,1.037,1.453,149,24,0
MG,Minduri,314190,Astrazeneca,3.686,1.575,1.461,468,182,0,0
MG,Minduri,314190,Coronavac,1.578,830,747,1,0,0,0
MG,Minduri,314190,Janssen,251,0,0,146,34,0,71
MG,Minduri,314190,-,47,13,34,0,0,0,0
MG,Mirabela,314200,Pfizer,11.188,4.054,3.456,3.591,0,87,0
MG,Mirabela,314200,Astrazeneca,8.794,3.554,3.382,1.758,18,82,0
MG,Mirabela,314200,Coronavac,5.792,3.024,2.767,1,0,0,0
MG,Mirabela,314200,Janssen,287,0,0,119,0,4,164
MG,Mirabela,314200,-,51,12,37,2,0,0,0
MG,Miradouro,314210,Pfizer,9.491,3.082,2.770,3.626,10,3,0
MG,Miradouro,314210,Astrazeneca,7.297,3.105,2.977,974,241,0,0
MG,Miradouro,314210,Coronavac,3.571,1.838,1.733,0,0,0,0
MG,Miradouro,314210,Janssen,883,0,0,364,399,0,120
MG,Miradouro,314210,-,100,36,64,0,0,0,0
MG,Miraí,314220,Pfizer,11.188,3.743,3.208,4.103,112,22,0
MG,Miraí,314220,Astrazeneca,10.018,4.443,4.348,984,242,1,0
MG,Miraí,314220,Coronavac,5.030,2.561,2.469,0,0,0,0
MG,Miraí,314220,Janssen,704,0,0,306,188,0,210
MG,Miraí,314220,-,35,9,26,0,0,0,0
MG,Miravânia,314225,Pfizer,3.326,1.050,787,1.474,15,0,0
MG,Miravânia,314225,Astrazeneca,2.991,1.539,1.349,58,45,0,0
MG,Miravânia,314225,Coronavac,1.532,786,742,4,0,0,0
MG,Miravânia,314225,Janssen,355,0,0,247,65,0,43
MG,Miravânia,314225,-,6,2,3,1,0,0,0
MG,Moeda,314230,Astrazeneca,4.156,2.016,1.553,461,125,1,0
MG,Moeda,314230,Pfizer,4.145,1.425,788,1.881,51,0,0
MG,Moeda,314230,Coronavac,2.127,1.164,963,0,0,0,0
MG,Moeda,314230,Janssen,350,0,0,146,148,0,56
MG,Moeda,314230,-,22,2,20,0,0,0,0
MG,Moema,314240,Pfizer,7.145,2.384,1.917,2.641,62,141,0
MG,Moema,314240,Astrazeneca,5.026,2.539,2.408,29,50,0,0
MG,Moema,314240,Coronavac,3.502,1.898,1.602,2,0,0,0
MG,Moema,314240,Janssen,612,0,0,409,1,75,127
MG,Moema,314240,-,112,19,93,0,0,0,0
MG,Monjolos,314250,Pfizer,2.261,781,720,759,0,1,0
MG,Monjolos,314250,Astrazeneca,2.074,687,664,546,177,0,0
MG,Monjolos,314250,Coronavac,1.113,564,549,0,0,0,0
MG,Monjolos,314250,Janssen,239,0,0,118,86,0,35
MG,Monjolos,314250,-,11,4,7,0,0,0,0
MG,Monsenhor Paulo,314260,Pfizer,9.004,2.774,2.624,3.568,30,8,0
MG,Monsenhor Paulo,314260,Astrazeneca,6.688,2.760,2.609,1.049,268,2,0
MG,Monsenhor Paulo,314260,Coronavac,4.259,2.242,2.009,7,1,0,0
MG,Monsenhor Paulo,314260,Janssen,1.273,0,0,543,435,122,173
MG,Monsenhor Paulo,314260,-,87,20,65,0,2,0,0
MG,Montalvânia,314270,Pfizer,11.783,4.837,3.700,3.021,5,220,0
MG,Montalvânia,314270,Astrazeneca,9.906,4.554,3.905,1.253,87,107,0
MG,Montalvânia,314270,Coronavac,5.759,2.974,2.778,7,0,0,0
MG,Montalvânia,314270,Janssen,956,0,0,690,10,84,172
MG,Montalvânia,314270,-,180,55,124,1,0,0,0
MG,Monte Alegre De Minas,314280,Pfizer,17.370,6.255,5.168,5.752,192,3,0
MG,Monte Alegre De Minas,314280,Astrazeneca,16.712,6.908,6.441,2.733,624,6,0
MG,Monte Alegre De Minas,314280,Coronavac,8.473,4.586,3.883,4,0,0,0
MG,Monte Alegre De Minas,314280,Janssen,1.595,0,0,618,647,11,319
MG,Monte Alegre De Minas,314280,-,162,15,145,2,0,0,0
MG,Monte Azul,314290,Astrazeneca,19.317,9.094,8.256,1.756,210,1,0
MG,Monte Azul,314290,Pfizer,15.307,5.006,3.987,6.030,274,10,0
MG,Monte Azul,314290,Coronavac,6.462,3.435,3.019,8,0,0,0
MG,Monte Azul,314290,Janssen,1.152,0,0,469,29,61,593
MG,Monte Azul,314290,-,58,4,53,1,0,0,0
MG,Monte Belo,314300,Pfizer,13.411,4.148,3.586,5.575,63,39,0
MG,Monte Belo,314300,Astrazeneca,12.673,5.401,5.065,1.809,395,3,0
MG,Monte Belo,314300,Coronavac,6.258,3.222,3.029,7,0,0,0
MG,Monte Belo,314300,Janssen,1.604,0,0,506,722,10,366
MG,Monte Belo,314300,-,5,3,1,1,0,0,0
MG,Monte Carmelo,314310,Pfizer,58.417,17.516,16.535,23.157,73,1.136,0
MG,Monte Carmelo,314310,Astrazeneca,34.201,13.961,13.703,5.966,567,4,0
MG,Monte Carmelo,314310,Coronavac,21.153,10.740,10.387,26,0,0,0
MG,Monte Carmelo,314310,Janssen,4.776,0,0,2.392,1.369,35,980
MG,Monte Carmelo,314310,-,220,52,155,13,0,0,0
MG,Monte Formoso,314315,Pfizer,4.238,1.666,1.404,1.162,6,0,0
MG,Monte Formoso,314315,Astrazeneca,2.815,1.214,1.106,492,3,0,0
MG,Monte Formoso,314315,Coronavac,1.995,1.068,927,0,0,0,0
MG,Monte Formoso,314315,Janssen,413,0,0,80,251,32,50
MG,Monte Formoso,314315,-,46,22,24,0,0,0,0
MG,Monte Santo De Minas,314320,Pfizer,21.334,6.725,6.154,8.251,125,79,0
MG,Monte Santo De Minas,314320,Astrazeneca,14.227,6.184,6.068,1.461,413,101,0
MG,Monte Santo De Minas,314320,Coronavac,9.695,5.045,4.636,9,5,0,0
MG,Monte Santo De Minas,314320,Janssen,3.613,0,0,1.726,1.006,2,879
MG,Monte Santo De Minas,314320,-,143,43,91,9,0,0,0
MG,Monte Sião,314340,Pfizer,20.481,7.247,6.250,5.586,0,1.398,0
MG,Monte Sião,314340,Astrazeneca,16.612,7.285,7.102,1.915,255,55,0
MG,Monte Sião,314340,Coronavac,9.340,4.953,4.385,0,1,1,0
MG,Monte Sião,314340,Janssen,1.115,0,0,467,213,66,369
MG,Monte Sião,314340,-,161,36,124,1,0,0,0
MG,Montes Claros,314330,Pfizer,289.272,115.393,96.979,76.376,4,520,0
MG,Montes Claros,314330,Astrazeneca,244.027,124.475,90.559,28.933,2,58,0
MG,Montes Claros,314330,Coronavac,174.853,95.164,79.684,5,0,0,0
MG,Montes Claros,314330,Janssen,11.800,0,0,3.929,0,24,7.847
MG,Montes Claros,314330,-,2.818,1.834,984,0,0,0,0
MG,Montezuma,314345,Pfizer,5.924,2.150,1.724,2.034,15,1,0
MG,Montezuma,314345,Astrazeneca,5.042,2.218,2.095,654,70,5,0
MG,Montezuma,314345,Coronavac,2.371,1.222,1.148,1,0,0,0
MG,Montezuma,314345,Janssen,147,0,0,62,10,0,75
MG,Morada Nova De Minas,314350,Pfizer,10.062,3.203,2.921,3.874,32,32,0
MG,Morada Nova De Minas,314350,Astrazeneca,7.890,3.048,2.978,1.532,331,1,0
MG,Morada Nova De Minas,314350,Coronavac,3.834,1.958,1.876,0,0,0,0
MG,Morada Nova De Minas,314350,Janssen,752,0,0,382,182,0,188
MG,Morada Nova De Minas,314350,-,81,25,56,0,0,0,0
MG,Morro Da Garça,314360,Pfizer,2.559,909,883,766,1,0,0
MG,Morro Da Garça,314360,Astrazeneca,2.037,700,694,506,137,0,0
MG,Morro Da Garça,314360,Coronavac,1.350,691,659,0,0,0,0
MG,Morro Da Garça,314360,Janssen,296,0,0,232,36,0,28
MG,Morro Da Garça,314360,-,29,3,26,0,0,0,0
MG,Morro Do Pilar,314370,Pfizer,3.174,950,656,1.147,59,362,0
MG,Morro Do Pilar,314370,Astrazeneca,2.269,1.114,1.015,5,40,95,0
MG,Morro Do Pilar,314370,Coronavac,1.451,803,645,3,0,0,0
MG,Morro Do Pilar,314370,Janssen,105,0,0,7,37,20,41
MG,Morro Do Pilar,314370,-,1,1,0,0,0,0,0
MG,Munhoz,314380,Pfizer,5.162,1.935,1.713,1.487,24,3,0
MG,Munhoz,314380,Astrazeneca,4.515,1.989,1.926,521,79,0,0
MG,Munhoz,314380,Coronavac,3.159,1.641,1.486,18,14,0,0
MG,Munhoz,314380,Janssen,379,0,0,265,14,0,100
MG,Munhoz,314380,-,33,9,21,1,2,0,0
MG,Muriaé,314390,Pfizer,93.246,34.067,27.258,31.442,132,347,0
MG,Muriaé,314390,Astrazeneca,76.993,34.898,32.925,7.468,1.600,102,0
MG,Muriaé,314390,Coronavac,44.632,23.235,21.391,5,1,0,0
MG,Muriaé,314390,Janssen,8.301,0,0,2.773,2.399,103,3.026
MG,Muriaé,314390,-,433,191,242,0,0,0,0
MG,Mutum,314400,Pfizer,25.887,9.010,7.323,8.638,183,733,0
MG,Mutum,314400,Astrazeneca,16.571,8.094,7.500,924,9,44,0
MG,Mutum,314400,Coronavac,11.122,5.911,5.188,23,0,0,0
MG,Mutum,314400,Janssen,942,0,0,234,374,19,315
MG,Mutum,314400,-,228,93,112,23,0,0,0
MG,Muzambinho,314410,Pfizer,21.085,6.610,5.846,8.318,257,54,0
MG,Muzambinho,314410,Astrazeneca,19.360,8.262,8.049,2.545,500,4,0
MG,Muzambinho,314410,Coronavac,9.351,4.853,4.490,8,0,0,0
MG,Muzambinho,314410,Janssen,1.692,0,0,562,807,18,305
MG,Muzambinho,314410,-,238,59,176,3,0,0,0
MG,Nacip Raydan,314420,Pfizer,2.845,805,731,1.160,20,129,0
MG,Nacip Raydan,314420,Astrazeneca,1.605,760,711,33,101,0,0
MG,Nacip Raydan,314420,Coronavac,1.182,606,576,0,0,0,0
MG,Nacip Raydan,314420,Janssen,251,0,0,118,71,1,61
MG,Nacip Raydan,314420,-,5,3,2,0,0,0,0
MG,Nanuque,314430,Pfizer,29.776,9.179,10.470,9.282,570,275,0
MG,Nanuque,314430,Astrazeneca,25.894,13.970,9.160,2.026,586,152,0
MG,Nanuque,314430,Coronavac,15.180,7.782,6.941,440,11,6,0
MG,Nanuque,314430,Janssen,2.200,0,0,718,413,294,775
MG,Nanuque,314430,-,439,90,173,168,2,6,0
MG,Naque,314435,Pfizer,4.773,2.015,1.571,1.185,2,0,0
MG,Naque,314435,Astrazeneca,3.517,1.495,1.476,546,0,0,0
MG,Naque,314435,Coronavac,2.628,1.412,1.215,1,0,0,0
MG,Naque,314435,Janssen,496,0,0,311,71,3,111
MG,Naque,314435,-,11,2,9,0,0,0,0
MG,Natalândia,314437,Pfizer,3.346,1.241,1.072,1.013,18,2,0
MG,Natalândia,314437,Astrazeneca,2.618,1.147,1.055,367,48,1,0
MG,Natalândia,314437,Coronavac,1.536,825,708,3,0,0,0
MG,Natalândia,314437,Janssen,265,0,0,111,91,2,61
MG,Natalândia,314437,-,18,7,11,0,0,0,0
MG,Natércia,314440,Astrazeneca,5.355,2.192,2.090,948,125,0,0
MG,Natércia,314440,Pfizer,3.958,930,830,2.151,19,28,0
MG,Natércia,314440,Coronavac,2.531,1.304,1.227,0,0,0,0
MG,Natércia,314440,Janssen,162,0,0,67,0,6,89
MG,Natércia,314440,-,43,17,26,0,0,0,0
MG,Nazareno,314450,Pfizer,7.573,2.485,2.238,2.208,4,638,0
MG,Nazareno,314450,Astrazeneca,7.056,3.269,2.993,404,195,195,0
MG,Nazareno,314450,Coronavac,3.861,1.998,1.862,1,0,0,0
MG,Nazareno,314450,Janssen,1.363,0,0,597,308,288,170
MG,Nazareno,314450,-,76,12,63,1,0,0,0
MG,Nepomuceno,314460,Pfizer,25.335,8.235,7.379,9.662,38,21,0
MG,Nepomuceno,314460,Astrazeneca,19.993,8.257,7.935,2.789,1.009,3,0
MG,Nepomuceno,314460,Coronavac,12.788,6.672,6.116,0,0,0,0
MG,Nepomuceno,314460,Janssen,1.766,0,0,703,431,0,632
MG,Nepomuceno,314460,-,261,62,188,11,0,0,0
MG,Ninheira,314465,Pfizer,8.567,3.058,2.388,1.842,0,1.279,0
MG,Ninheira,314465,Astrazeneca,6.334,2.679,2.517,676,116,346,0
MG,Ninheira,314465,Coronavac,4.049,2.100,1.948,0,0,1,0
MG,Ninheira,314465,Janssen,267,0,0,85,68,9,105
MG,Ninheira,314465,-,50,14,36,0,0,0,0
MG,Nova Belém,314467,Pfizer,3.901,1.233,1.141,1.481,35,11,0
MG,Nova Belém,314467,Astrazeneca,1.700,843,833,21,3,0,0
MG,Nova Belém,314467,Coronavac,1.534,786,748,0,0,0,0
MG,Nova Belém,314467,Janssen,89,0,0,46,3,0,40
MG,Nova Belém,314467,-,30,6,24,0,0,0,0
MG,Nova Era,314470,Pfizer,19.193,5.911,5.292,7.192,93,705,0
MG,Nova Era,314470,Astrazeneca,12.386,5.778,5.569,688,251,100,0
MG,Nova Era,314470,Coronavac,7.129,3.744,3.385,0,0,0,0
MG,Nova Era,314470,Janssen,2.039,0,0,578,449,244,768
MG,Nova Era,314470,-,252,75,176,1,0,0,0
MG,Nova Lima,314480,Pfizer,101.047,32.210,28.213,37.229,2.253,1.142,0
MG,Nova Lima,314480,Astrazeneca,81.546,35.457,34.468,9.163,2.208,250,0
MG,Nova Lima,314480,Coronavac,52.509,27.754,24.738,16,1,0,0
MG,Nova Lima,314480,Janssen,7.362,0,0,3.971,1.447,104,1.840
MG,Nova Lima,314480,-,699,130,561,8,0,0,0
MG,Nova Módica,314490,Pfizer,3.465,1.179,894,769,39,584,0
MG,Nova Módica,314490,Astrazeneca,2.284,1.157,983,0,40,104,0
MG,Nova Módica,314490,Coronavac,1.709,919,787,0,0,3,0
MG,Nova Módica,314490,Janssen,218,0,0,50,87,12,69
MG,Nova Módica,314490,-,25,0,25,0,0,0,0
MG,Nova Ponte,314500,Pfizer,13.446,5.308,4.521,3.354,65,197,1
MG,Nova Ponte,314500,Astrazeneca,9.248,3.522,3.398,1.939,385,4,0
MG,Nova Ponte,314500,Coronavac,7.198,3.930,3.257,11,0,0,0
MG,Nova Ponte,314500,Janssen,637,0,0,251,18,5,363
MG,Nova Ponte,314500,-,216,72,142,2,0,0,0
MG,Nova Porteirinha,314505,Pfizer,6.046,2.334,1.808,1.866,38,0,0
MG,Nova Porteirinha,314505,Astrazeneca,5.101,2.369,2.134,537,61,0,0
MG,Nova Porteirinha,314505,Coronavac,2.433,1.288,1.139,6,0,0,0
MG,Nova Porteirinha,314505,Janssen,249,0,0,115,14,0,120
MG,Nova Porteirinha,314505,-,19,15,4,0,0,0,0
